id,x,y,z
65,19.088998146231013,152.46312399142337,95.7158994101235
66,19.25018230611791,147.45934655160846,94.24460468524335
67,19.412284681521616,142.55768102860495,92.88423679366763
68,19.514364490941112,137.80937845083145,91.52213958531767
69,19.57753647512629,132.84517137501558,90.63076629981198
70,19.46708765617611,128.40704020858823,90.00205978448628
71,19.45197663442748,123.97336820159786,89.4879497339395
72,19.28790635747354,119.52964404914168,88.80265724721446
73,19.19120411203127,115.12161218885072,88.34894121178908
74,19.0794068078529,110.69430500275897,87.06800985740288
75,19.02578644694125,106.1086036570843,86.64260912659032
76,18.986186795368624,101.53805517780438,86.01465616333397
77,18.93535140565019,97.15036306765566,84.69383895140163
78,18.91714031695339,92.58377110745856,83.82151924619956
79,18.96701474169806,87.95396414696658,83.15395477651374
80,19.006763881179957,83.43844685611214,82.0135553984852
145,19.136839,10.411801,61.6964574225474
146,19.141025,14.9866,62.7893458818841
147,18.952025,19.613162,63.971075841132674
148,19.023826,24.169844,65.14829637083115
149,19.057683,28.778103,66.36874321315031
150,19.010985,33.356183,67.58855813372246
151,19.030006,37.947712,68.79191616749632
152,19.000038,42.510957,70.04161159091366
153,18.993871,47.047118,71.31005483808332
154,18.988398,51.624505,72.64538130942564
155,18.989996,56.189645,74.07642633398326
156,19.065586,60.68319399999999,75.46413795585816
157,19.057524,65.250922,76.86409245474064
158,19.028236239931328,69.89814616096078,78.26668050587112
159,19.01667903530288,74.40879899164156,79.5413997737917
160,18.99869599333226,78.93437174204175,80.7390778877799
